,GEOID,pop_tot,state,county,tract,block group
129,1500000US360470304000,0.0,36,047,030400,0
130,1500000US360470304003,1486.0,36,047,030400,3
131,1500000US360470305003,2301.0,36,047,030500,3
132,1500000US360470306001,1852.0,36,047,030600,1
133,1500000US360470307003,2484.0,36,047,030700,3
134,1500000US360470309002,1101.0,36,047,030900,2
135,1500000US360470311003,541.0,36,047,031100,3
136,1500000US360470313003,1583.0,36,047,031300,3
137,1500000US360470314011,1453.0,36,047,031401,1
138,1500000US360470314014,0.0,36,047,031401,4
139,1500000US360470319003,508.0,36,047,031900,3
140,1500000US360470321003,1319.0,36,047,032100,3
141,1500000US360470323002,1544.0,36,047,032300,2
142,1500000US360470325002,734.0,36,047,032500,2
143,1500000US360470326002,994.0,36,047,032600,2
144,1500000US360470326005,2559.0,36,047,032600,5
145,1500000US360470327003,926.0,36,047,032700,3
146,1500000US360470328003,694.0,36,047,032800,3
147,1500000US360470329001,1409.0,36,047,032900,1
148,1500000US360470329004,1181.0,36,047,032900,4
149,1500000US360470330002,490.0,36,047,033000,2
150,1500000US360470331002,2042.0,36,047,033100,2
151,1500000US360470333002,1878.0,36,047,033300,2
152,1500000US360470335002,982.0,36,047,033500,2
153,1500000US360470336001,957.0,36,047,033600,1
154,1500000US360470336004,580.0,36,047,033600,4
155,1500000US360470342003,1567.0,36,047,034200,3
156,1500000US360470343002,914.0,36,047,034300,2
157,1500000US360470343004,1841.0,36,047,034300,4
158,1500000US360470347001,1061.0,36,047,034700,1
159,1500000US360470348001,1530.0,36,047,034800,1
160,1500000US360470349012,793.0,36,047,034901,2
161,1500000US360470349023,1496.0,36,047,034902,3
162,1500000US360470351011,2330.0,36,047,035101,1
163,1500000US360470352000,0.0,36,047,035200,0
164,1500000US360470353012,657.0,36,047,035301,2
165,1500000US360470354001,2353.0,36,047,035400,1
166,1500000US360470355001,2106.0,36,047,035500,1
167,1500000US360470355003,1864.0,36,047,035500,3
168,1500000US360470356022,2230.0,36,047,035602,2
169,1500000US360470357021,0.0,36,047,035702,1
170,1500000US360470359003,1731.0,36,047,035900,3
171,1500000US360470360012,909.0,36,047,036001,2
172,1500000US360470364002,1123.0,36,047,036400,2
173,1500000US360470365021,1562.0,36,047,036502,1
174,1500000US360470366003,1421.0,36,047,036600,3
175,1500000US360470367003,607.0,36,047,036700,3
176,1500000US360470369002,1168.0,36,047,036900,2
177,1500000US360470370001,1285.0,36,047,037000,1
178,1500000US360470370003,1012.0,36,047,037000,3
179,1500000US360470371002,1083.0,36,047,037100,2
180,1500000US360470371005,635.0,36,047,037100,5
181,1500000US360470373003,891.0,36,047,037300,3
182,1500000US360470374012,529.0,36,047,037401,2
183,1500000US360470374015,1224.0,36,047,037401,5
184,1500000US360470374023,860.0,36,047,037402,3
185,1500000US360470375002,1694.0,36,047,037500,2
186,1500000US360470377002,786.0,36,047,037700,2
187,1500000US360470379001,1350.0,36,047,037900,1
188,1500000US360470379003,2048.0,36,047,037900,3
189,1500000US360470386001,1755.0,36,047,038600,1
190,1500000US360470387002,903.0,36,047,038700,2
191,1500000US360470388001,1371.0,36,047,038800,1
192,1500000US360470388004,1528.0,36,047,038800,4
193,1500000US360470389002,903.0,36,047,038900,2
194,1500000US360470390002,1107.0,36,047,039000,2
195,1500000US360470392001,1238.0,36,047,039200,1
196,1500000US360470393002,1621.0,36,047,039300,2
197,1500000US360470394002,788.0,36,047,039400,2
198,1500000US360470395002,1623.0,36,047,039500,2
199,1500000US360470396002,1368.0,36,047,039600,2
200,1500000US360470397003,1299.0,36,047,039700,3
201,1500000US360470398002,852.0,36,047,039800,2
202,1500000US360470399003,1206.0,36,047,039900,3
203,1500000US360470400003,1253.0,36,047,040000,3
